제목,채널 명,스트리밍 시작 시간,댓글 작성자,댓글 내용,댓글 작성 시간
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 20:47,YTN,2022-07-11 18:19:59Z,사냥하곰,수라 어딨냐고,2024-09-15 20:51:09
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 20:47,YTN,2022-07-11 18:19:59Z,구름,참비익 참수리,2024-09-15 20:51:09
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 20:47,YTN,2022-07-11 18:19:59Z,어케,그 뭐 아,2024-09-15 20:51:10
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 20:47,YTN,2022-07-11 18:19:59Z,Action,"I Think best holy bible is peter ruckman reperence Bible And My recommended watch is  Bertucci A-2T  12121 and 12086 200M water resistance  titanum  watch  , Gshock Dw5600",2024-09-15 20:51:10
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 20:47,YTN,2022-07-11 18:19:59Z,比翼連理,비이기 찾어 ^^,2024-09-15 20:51:15
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 20:47,YTN,2022-07-11 18:19:59Z,허경영강연 검색,:yt:지금 내가 뭐 무슨 정치 운동하는 사람 같으다. 하하 나는 신인이야 알았죠? 내 말을 정치인들이 국회에서 토론해야 돼 (허경영강연 359회),2024-09-15 20:51:18
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 20:47,YTN,2022-07-11 18:19:59Z,사냥하곰,시룬데?,2024-09-15 20:51:22
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 20:47,YTN,2022-07-11 18:19:59Z,어케,머 내래,2024-09-15 20:51:23
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 20:47,YTN,2022-07-11 18:19:59Z,민경희,옛날 전화기도 모르자나,2024-09-15 20:51:25
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 20:47,YTN,2022-07-11 18:19:59Z,사냥하곰,수라 데려와 ㄱ,2024-09-15 20:51:29
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 20:47,YTN,2022-07-11 18:19:59Z,比翼連理,곰언니 :smiling_face:기모찡,2024-09-15 20:51:30
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 20:47,YTN,2022-07-11 18:19:59Z,저승에서이승까지,:face-green-smiling::face-green-smiling::face-green-smiling:너희는 지금 주가 ㆍ주식 보고 있어야 한다 :strawberry: 그냥 너희는 양아치다 :strawberry: 지금 모든 선물 계산 해야 한다 :strawberry: 이해가 이해가 여자를 만나도 이해가 이해다 ㆍ,2024-09-15 20:51:31
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 20:47,YTN,2022-07-11 18:19:59Z,돌고래,:rolling_on_the_floor_laughing:,2024-09-15 20:51:38
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 20:47,YTN,2022-07-11 18:19:59Z,민경희,다이얼 돌아가는 전화기봣나,2024-09-15 20:51:40
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 20:47,YTN,2022-07-11 18:19:59Z,sit 문수산,가지가지 한동훈 음악방송 팝을 잘아는 한뚜겅이라는 제목달고 에긍,2024-09-15 20:51:42
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 20:47,YTN,2022-07-11 18:19:59Z,퍼플레인 ,아~~5군단 사령부옆에 있다,2024-09-15 20:51:44
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 20:47,YTN,2022-07-11 18:19:59Z,HOPE,ktx 좌석이 좁고 불편해,2024-09-15 20:51:45
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 20:47,YTN,2022-07-11 18:19:59Z,어케,여자들은 있는데 걱정은 왜 혀,2024-09-15 20:51:46
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,돌고래,나중에,2024-09-15 21:54:13
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,제니,고릴라 증거 올릴까봐 도망갔넹~ ㅎ,2024-09-15 21:54:14
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,루틴,아 글치 글치~~,2024-09-15 21:54:17
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,시로하로,광주. 먼저 알려주노 멀티 북한이라 그러노,2024-09-15 21:54:19
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,팔복김,북한에는 추석이 단 하루 쉰다고 한다,2024-09-15 21:54:20
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-15 21:54,YTN,2022-07-11 18:19:59Z,아빠,거지록탱이..,2024-09-15 21:54:20
